Batch Size,Epochs,Train Size,Train Time,MSE Train,rep,error_trace
512,100,750,8.61590027809143,0.06182105667453891,0,"[0.54177352 0.44016651 0.36878536 0.30745314 0.21465015 0.19518125
 0.16043514 0.14781357 0.14190784 0.14280436 0.13495269 0.13722804
 0.13326803 0.13004898 0.12282277 0.12844302 0.12549175 0.12436761
 0.12140493 0.12170162 0.11841908 0.11839329 0.11256576 0.11256659
 0.11193459 0.10953574 0.10856525 0.1086277  0.10541712 0.10521181
 0.1031384  0.10547558 0.10081452 0.10421499 0.09862887 0.10059017
 0.0954892  0.09844449 0.09340377 0.09536186 0.09219555 0.09172391
 0.09238216 0.0908853  0.09416113 0.08895485 0.09080767 0.09065101
 0.09138088 0.08503057 0.08466939 0.08577798 0.08388177 0.08371726
 0.0837346  0.08230682 0.08452133 0.08121665 0.08221452 0.07967507
 0.07985636 0.08316705 0.08008399 0.07709604 0.07529037 0.07579997
 0.07612247 0.0797502  0.07831663 0.07418159 0.07257354 0.07445017
 0.07234464 0.06926295 0.07067441 0.07377431 0.07102429 0.07054727
 0.06986718 0.06987893 0.06794122 0.06981112 0.06955351 0.06694016
 0.06741842 0.06920498 0.0699841  0.07152452 0.06835427 0.06581586
 0.06806721 0.06788117 0.06577385 0.06554796 0.0653203  0.06382203
 0.06452231 0.0640403  0.06362024 0.06182106]"
512,100,750,9.258320331573486,0.06389174222073121,1,"[0.53425268 0.4522523  0.36642315 0.30982295 0.21172606 0.18568014
 0.15867377 0.15018329 0.14404118 0.13832745 0.137189   0.1322959
 0.13465166 0.12909479 0.13588413 0.12293604 0.12548248 0.11943071
 0.12057568 0.11478614 0.11788976 0.11850252 0.11625698 0.11389997
 0.10899567 0.11095049 0.10810357 0.10747472 0.10534297 0.10406866
 0.10494215 0.103307   0.10017371 0.10049445 0.10261566 0.09753348
 0.10075074 0.09585965 0.09495971 0.09503162 0.09512958 0.09806925
 0.09768934 0.09593731 0.09196244 0.09292179 0.09254263 0.08950599
 0.09056494 0.09126688 0.08804283 0.08659869 0.08572357 0.08412525
 0.08444333 0.08533508 0.08450215 0.08395525 0.08205014 0.08240896
 0.08092767 0.08180236 0.08315837 0.07843635 0.07680851 0.07770477
 0.07713502 0.07546196 0.0777297  0.07568154 0.08042803 0.0731796
 0.07483237 0.0759705  0.07214413 0.07182057 0.07719725 0.07257639
 0.06928738 0.06961947 0.07278978 0.07209339 0.06967194 0.0704161
 0.07014925 0.06751811 0.06721474 0.06991006 0.07050732 0.06727955
 0.06732438 0.06760723 0.06902202 0.06628087 0.06420822 0.06433514
 0.06760375 0.06970303 0.07048805 0.06389174]"
512,100,750,9.645347118377686,0.06586915489241132,2,"[0.55007102 0.43567852 0.34272538 0.26016538 0.18877301 0.15626572
 0.14633951 0.14384817 0.14841116 0.14084416 0.13766416 0.13523074
 0.13317764 0.12696069 0.13064775 0.12175677 0.13051883 0.12271154
 0.13963948 0.12224397 0.12560424 0.11454353 0.11490357 0.10952738
 0.11161586 0.10840754 0.10661395 0.1044575  0.10894057 0.10344173
 0.10633514 0.10045521 0.10219554 0.0988054  0.1068613  0.09546805
 0.09840249 0.09479299 0.09764571 0.09296049 0.09323846 0.09896775
 0.09493457 0.09794922 0.09434184 0.09231495 0.0915296  0.09054433
 0.08769139 0.08456316 0.08754925 0.08864264 0.08529609 0.0841618
 0.08518314 0.08250711 0.08248453 0.08444814 0.08215787 0.0817707
 0.08148967 0.08011256 0.08099039 0.08205935 0.07884788 0.07772644
 0.0769328  0.07709191 0.07474336 0.08010304 0.0746466  0.07338916
 0.07397235 0.07738891 0.07502783 0.07801521 0.07388792 0.07775593
 0.07257122 0.07071722 0.07232985 0.07190708 0.07209423 0.07041698
 0.06891572 0.06927599 0.07106698 0.06857566 0.06759595 0.06739052
 0.06582997 0.06576966 0.06926936 0.0668254  0.06263469 0.06484259
 0.06753897 0.06864325 0.06687949 0.06586915]"
256,100,750,10.094944477081299,0.041797634451531264,0,"[0.35889721 0.29791387 0.24030967 0.17288492 0.123685   0.11306803
 0.10877572 0.10544178 0.10276611 0.0998942  0.09756535 0.09498925
 0.09282426 0.09165652 0.08999401 0.08954237 0.08779315 0.08587039
 0.08503771 0.08356698 0.08336502 0.08184896 0.08098807 0.07918571
 0.07875584 0.07839558 0.07787236 0.07595808 0.07533608 0.07450398
 0.07425307 0.07261775 0.07242762 0.06942306 0.06881117 0.07056239
 0.06857529 0.06865154 0.06757401 0.06660576 0.06601992 0.06407172
 0.06230299 0.06405682 0.06174978 0.06134773 0.06142479 0.05935081
 0.06037691 0.05955641 0.05953096 0.05845412 0.05680043 0.05765234
 0.05661055 0.05626125 0.05598868 0.05511708 0.05521962 0.05420436
 0.05488214 0.05488059 0.05218516 0.05252602 0.05314752 0.05212565
 0.05135551 0.05236656 0.05166335 0.05075515 0.05176995 0.0499907
 0.0492931  0.05019631 0.04939496 0.04994124 0.04911604 0.04802155
 0.04780424 0.04840972 0.04670501 0.0473309  0.04718262 0.04638958
 0.04613387 0.04567783 0.04503528 0.04651078 0.04554641 0.04422608
 0.04516611 0.04562289 0.04443667 0.04356966 0.04381696 0.0443871
 0.0433216  0.045241   0.04490854 0.04179763]"
256,100,750,10.048168420791626,0.04264143708677503,1,"[0.37889483 0.31524051 0.26926015 0.19366552 0.1400329  0.12028334
 0.115315   0.11214523 0.10791369 0.10465626 0.10245394 0.09908168
 0.09947368 0.09533781 0.09291673 0.09253163 0.09081835 0.08843102
 0.08536854 0.08447757 0.08351916 0.0834586  0.08175685 0.07996591
 0.07916668 0.07882263 0.07703578 0.07624886 0.07596192 0.07572271
 0.07456399 0.07207725 0.07168843 0.07086632 0.07017476 0.06944229
 0.06909865 0.06858484 0.06689885 0.06639481 0.06564277 0.06468943
 0.06435203 0.06355602 0.06500981 0.06335621 0.06257297 0.06199893
 0.06080306 0.06048137 0.06055473 0.05959649 0.05848916 0.05886817
 0.05863611 0.05726522 0.0569625  0.05641776 0.05602767 0.05612961
 0.05486833 0.05298506 0.05317586 0.05453252 0.05666565 0.05440938
 0.05284329 0.05205361 0.05231414 0.05188101 0.05224762 0.05020099
 0.05120239 0.05237795 0.04948652 0.04911193 0.05003821 0.04897081
 0.04850399 0.04813182 0.04686998 0.04651485 0.04704376 0.04845784
 0.04827612 0.04638387 0.04590478 0.0447086  0.04475353 0.04478942
 0.04565492 0.04553647 0.04528406 0.04553004 0.04379046 0.04327817
 0.04396793 0.04334192 0.04248646 0.04264144]"
256,100,750,10.015870571136475,0.0427522377330203,2,"[0.36483036 0.29984323 0.24891035 0.16071773 0.12359098 0.11481083
 0.10952314 0.10643169 0.10387873 0.10037895 0.09826055 0.09671692
 0.09389256 0.09229288 0.09054964 0.08794624 0.08720368 0.08577816
 0.08485103 0.08314188 0.08177095 0.08076759 0.0817643  0.07824539
 0.07810044 0.07654267 0.07591913 0.07595319 0.07401445 0.07231426
 0.07171511 0.07137243 0.07074291 0.06909399 0.06924415 0.06734277
 0.06630787 0.06686147 0.06779124 0.06623229 0.0635186  0.06230652
 0.0626793  0.0632295  0.06067958 0.06040692 0.06000214 0.0590522
 0.05903982 0.05775795 0.05646739 0.05747703 0.0585634  0.0563661
 0.0555072  0.05496118 0.05437909 0.05497867 0.05570145 0.05413148
 0.05262144 0.05285183 0.05266681 0.0520889  0.05175369 0.05235224
 0.05119334 0.05140184 0.05071084 0.05114703 0.05010112 0.04916757
 0.04817776 0.04839035 0.04754723 0.04819978 0.04755064 0.04720629
 0.04648832 0.04651715 0.04545833 0.04480435 0.04569818 0.04513218
 0.04551776 0.04512887 0.04392457 0.0439812  0.04502411 0.04336688
 0.04190715 0.0423128  0.04286536 0.04290041 0.04277905 0.04324871
 0.04300566 0.04115968 0.04231112 0.04275224]"
128,100,750,9.744699001312256,0.029554996300624314,0,"[0.26941317 0.21724024 0.15175347 0.10732848 0.09230152 0.08647175
 0.08247765 0.07875492 0.0768245  0.07474113 0.0731587  0.07140471
 0.06983025 0.0692776  0.06851636 0.06745168 0.06543784 0.06350241
 0.06279634 0.06114946 0.06086277 0.05989019 0.05856431 0.05842418
 0.0577339  0.05657813 0.0558752  0.05495434 0.05387038 0.05370434
 0.05298157 0.05184459 0.05160165 0.05070236 0.05072656 0.05052467
 0.04895881 0.0489041  0.04823452 0.04670143 0.04679825 0.04684795
 0.04581867 0.04529607 0.04492032 0.04518094 0.0442975  0.04411082
 0.04365238 0.04329383 0.04286135 0.04151948 0.0414602  0.04302035
 0.04159322 0.0409476  0.04050011 0.03966665 0.03990621 0.03883027
 0.03890374 0.03927428 0.03823378 0.03818935 0.038207   0.03771758
 0.03722574 0.03749047 0.03721146 0.03622965 0.03585804 0.03585757
 0.03668173 0.03548539 0.03500209 0.03448363 0.03399553 0.03553033
 0.03403441 0.03389538 0.03354404 0.03315771 0.03295565 0.03307541
 0.03322165 0.03342061 0.03368196 0.03239222 0.03186264 0.03165974
 0.03229682 0.03155561 0.03088901 0.03132618 0.03096049 0.03099883
 0.0314537  0.03136518 0.0305705  0.029555  ]"
128,100,750,10.078080177307129,0.030502005468564308,1,"[0.27391237 0.22626947 0.16640504 0.10832387 0.09453344 0.08808517
 0.08361742 0.08110517 0.07845494 0.0767353  0.07363167 0.0719095
 0.07056224 0.06983862 0.06773106 0.06696649 0.06622074 0.06512714
 0.06327859 0.06325314 0.0621531  0.0607425  0.06054514 0.05947748
 0.05812414 0.05769333 0.05671141 0.05605163 0.05561019 0.05566597
 0.05390519 0.05320613 0.05268045 0.05170865 0.05167343 0.05047013
 0.05067276 0.05017214 0.04928529 0.0491909  0.04789682 0.04782958
 0.04703458 0.04652426 0.04546548 0.04560549 0.0448966  0.04513919
 0.04509799 0.04486975 0.04388577 0.043905   0.04199004 0.04189855
 0.043034   0.04220787 0.04118459 0.04115133 0.04087396 0.04080728
 0.0406047  0.03935732 0.03901626 0.03890895 0.03900197 0.03838985
 0.03792733 0.03776208 0.0385702  0.03713918 0.03686865 0.03683516
 0.03581155 0.03603305 0.03586499 0.0366413  0.03661262 0.03566338
 0.03512166 0.03504094 0.03394008 0.03402531 0.03455686 0.03369441
 0.03406829 0.03375012 0.03343232 0.03285921 0.03363867 0.03301694
 0.03245209 0.03297523 0.03165366 0.03180715 0.03187385 0.03284086
 0.03117729 0.03114386 0.03124729 0.03050201]"
128,100,750,9.753236055374146,0.03137688192856543,2,"[0.26757693 0.21816244 0.15114483 0.09976241 0.09150263 0.0861727
 0.08189724 0.07940881 0.07797477 0.07594665 0.07409162 0.07213424
 0.07150025 0.07013317 0.06814094 0.06637301 0.0659096  0.06463125
 0.06342774 0.06167949 0.06165914 0.0607823  0.05946805 0.05874908
 0.05818907 0.05680535 0.05611585 0.05530652 0.05467359 0.05393829
 0.05440264 0.05312171 0.05197925 0.0511324  0.05127728 0.05057548
 0.04929606 0.04894588 0.04858232 0.0481027  0.04725824 0.04799439
 0.0465132  0.04659053 0.04520113 0.04520986 0.0454386  0.04522823
 0.04291859 0.04300165 0.04381398 0.04268578 0.04246887 0.04238762
 0.04167704 0.04172078 0.04034216 0.0403307  0.04035308 0.03963294
 0.04035993 0.03899555 0.03947844 0.03967411 0.03960966 0.03786373
 0.03704488 0.03723664 0.03704521 0.03717489 0.03680693 0.0359332
 0.03564337 0.03627352 0.03684729 0.0354655  0.03479343 0.03523114
 0.03452554 0.0338163  0.03381096 0.03438422 0.03431825 0.03367383
 0.03344951 0.03326273 0.03224707 0.032565   0.03240532 0.03315798
 0.03223294 0.0316536  0.03201348 0.03114675 0.0322486  0.03164244
 0.0313671  0.03074507 0.03093895 0.03137688]"
64,100,750,13.517522811889648,0.03248686701386612,0,"[0.2427315  0.18944264 0.11927059 0.086085   0.08209895 0.07981153
 0.07599313 0.07446681 0.07242775 0.07083295 0.07004298 0.06852412
 0.06717645 0.06637908 0.06543743 0.06396234 0.06314736 0.06211233
 0.06143399 0.06027051 0.05969754 0.05901289 0.05836084 0.05743118
 0.05649454 0.05557962 0.05495045 0.0538584  0.05360274 0.05322228
 0.05246701 0.05165621 0.0509917  0.05050786 0.04976778 0.04967094
 0.04979807 0.04820212 0.04737816 0.04732912 0.04707633 0.04672917
 0.04597582 0.04558004 0.04568798 0.04456639 0.0449981  0.04384833
 0.04342168 0.04359825 0.04307311 0.04265029 0.0422608  0.04227484
 0.04160492 0.04139839 0.04105914 0.04129472 0.04054475 0.04030666
 0.04006631 0.03945906 0.03991355 0.03884148 0.0389185  0.03936799
 0.03829579 0.03781434 0.03794197 0.03869131 0.03813385 0.03781277
 0.03668123 0.03691506 0.03663177 0.03633037 0.03625563 0.03601432
 0.03604206 0.03609635 0.0353301  0.0354761  0.03522134 0.03485728
 0.03481506 0.03504275 0.03497911 0.03404856 0.03405091 0.03400848
 0.03475934 0.0343806  0.03339358 0.03294868 0.03287573 0.03273513
 0.03328096 0.03485753 0.03248412 0.03248687]"
